date,code,name,price
2026-01-23,600058,五矿发展,11.52
2026-01-23,002196,方正电机,16.53
2026-01-23,002246,北化股份,21.28
2026-01-23,000683,博源化工,8.17
2026-01-23,601965,中国汽研,18.89
2026-01-23,603926,铁流股份,20.19
2026-01-23,601858,中国科传,21.47
2026-01-23,002095,生 意 宝,20.94
2026-01-23,688085,三友医疗,22.3
2026-01-23,600189,泉阳泉,8.11
2026-01-23,600602,云赛智联,21.05
2026-01-23,605336,帅丰电器,18.31
2026-01-23,603187,海容冷链,16.51
2026-01-23,002119,康强电子,23.48
2026-01-23,002541,鸿路钢构,19.75
2026-01-23,600774,汉商集团,10.58
2026-01-23,600965,福成股份,6.33
2026-01-23,603022,新通联,11.58
2026-01-23,603001,奥康国际,9.41
2026-01-23,601163,三角轮胎,16.36
2026-01-23,688485,九州一轨,19.98
2026-01-23,002942,新农股份,21.16
2026-01-23,600195,中牧股份,8.49
2026-01-23,603305,旭升集团,21.01
2026-01-23,603927,中科软,21.17
2026-01-23,002062,宏润建设,9.68
2026-01-23,000685,中山公用,12.49
2026-01-23,002395,双象股份,18.78
2026-01-23,600989,宝丰能源,20.74
2026-01-23,000576,甘化科工,11.81
2026-01-23,605167,利柏特,18.4
2026-01-23,603115,海星股份,20.76
2026-01-23,002973,侨银股份,14.61
2026-01-23,000925,众合科技,9.37
2026-01-23,002585,双星新材,7.74
2026-01-23,002953,日丰股份,14.01
2026-01-23,002067,景兴纸业,5.86
2026-01-23,600686,金龙汽车,20.0
2026-01-23,600230,沧州大化,16.5
2026-01-23,603806,福斯特,15.32
2026-01-23,002539,云图控股,13.24
2026-01-23,601216,君正集团,5.76
2026-01-23,002009,天奇股份,21.3
2026-01-23,000506,招金黄金,15.97
2026-01-23,600416,湘电股份,16.57
2026-01-23,002986,宇新股份,11.81
2026-01-23,605189,富春染织,16.25
2026-01-23,002319,乐通股份,12.93
2026-01-23,002921,联诚精密,20.85
2026-01-23,002443,金洲管道,9.35
2026-01-23,600955,维远股份,18.72
2026-01-23,600481,双良节能,7.58
2026-01-23,600738,丽尚国潮,5.44
2026-01-23,002193,如意集团,5.64
2026-01-23,600641,万业企业,20.46
2026-01-23,603165,荣晟环保,14.8
2026-01-23,605222,起帆电缆,21.43
2026-01-23,000703,恒逸石化,11.09
2026-01-23,001278,一彬科技,21.65
2026-01-23,600232,金鹰股份,8.97
2026-01-23,002810,山东赫达,15.9
2026-01-23,000905,厦门港务,13.6
2026-01-23,002064,华峰化学,12.68
2026-01-23,600382,广东明珠,8.48
2026-01-23,603078,江化微,21.42
2026-01-23,600075,新疆天业,5.79
2026-01-23,603808,歌力思,9.7
