date,code,name,price
2025-12-30,002866,传艺科技,18.85
2025-12-30,688173,希荻微,14.82
2025-12-30,605399,晨光新材,13.88
2025-12-30,603213,镇洋发展,13.32
2025-12-30,601169,北京银行,5.52
2025-12-30,002771,真视通,15.16
2025-12-30,002072,凯瑞德,7.72
2025-12-30,605177,东亚药业,18.19
2025-12-30,002449,国星光电,8.48
2025-12-30,002107,沃华医药,6.33
2025-12-30,688560,明冠新材,15.31
2025-12-30,603336,宏辉果蔬,8.54
2025-12-30,600516,方大炭素,5.77
2025-12-30,603116,红蜻蜓,6.3
2025-12-30,603815,交建股份,7.63
2025-12-30,600100,同方股份,8.74
2025-12-30,002114,罗平锌电,8.56
2025-12-30,002577,雷柏科技,17.77
2025-12-30,002313,日海智能,10.29
2025-12-30,600579,中化装备,8.25
2025-12-30,000958,电投产融,6.66
2025-12-30,688105,诺唯赞,20.32
2025-12-30,600640,国脉文化,12.46
2025-12-30,002905,金逸影视,10.56
2025-12-30,688189,南新制药,8.05
2025-12-30,600546,山煤国际,10.23
2025-12-30,601009,南京银行,11.59
2025-12-30,002675,东诚药业,13.63
2025-12-30,603887,城地香江,13.8
2025-12-30,603000,人民网,18.81
2025-12-30,600637,东方明珠,9.98
2025-12-30,601059,信达证券,17.77
2025-12-30,603110,东方材料,16.11
2025-12-30,002786,银宝山新,8.6
2025-12-30,688466,金科环境,16.33
2025-12-30,600072,中船科技,11.65
